"hosun","name","avgprice","gongsil","size_under","size_over","yn","역번호","승차","하차","address","lon","lat"
"6호선","광흥창",136790.05,0.857,3,4,1,2625,7184.92763157895,6960.28947368421,"서울특별시 마포구 창전동 145-17 광흥창역",126.9319256,37.5474463
"6호선","구산",217191.86746988,0.8,1,4,1,2616,6152.57236842105,4570.8947368421,"서울특별시 은평구 구산동 1 구산역",126.9172389,37.6112095
"6호선","녹사평",217190.225,0,0,1,0,2630,4281.20394736842,4384.13157894737,"서울특별시 용산구 용산동 4가 4 녹사평역",126.9870163,37.5347919
"6호선","대흥",142758.609238481,0.333,1,2,1,2626,6482.44736842105,6729.33552631579,"서울특별시 마포구 대흥동 128-1 대흥역",126.94232,37.54783
"6호선","독바위",91377.1884984026,0.5,1,1,1,2614,2356.53289473684,2542.31578947368,"서울특별시 은평구 불광동 13-33 독바위역",126.933056,37.618397
"6호선","돌곶이",231184.788359788,0.857,3,4,1,2644,7389.25,6925.88157894737,"서울특별시 성북구 석관동 349-8 돌곶이역",127.0570138,37.6108113
"6호선","동묘앞",145159.354166667,0.8,2,3,1,2637,7080.67763157895,7097.46710526316,"서울특별시 종로구 창신동 263-2 동묘앞역",127.0162228,37.5733383
"6호선","디지털미디어시티",82223.3577610063,0.6,3,7,1,2619,10891.9934210526,11734.125,"서울특별시 은평구 수색동 37-36 디지털미디어시티역",126.9004205,37.5779636
"6호선","마포구청",227891.948717949,0.857,1,6,1,2621,11582.5263157895,10263.375,"서울특별시 마포구 성산동 592 마포구청역",126.9015161,37.5649979
"6호선","망원",161338.981221734,0.6,2,3,1,2622,11952.0789473684,13088.8552631579,"서울특별시 마포구 망원동 378 망원역",126.909907,37.5557572
"6호선","보문",130441.547720365,0.667,3,3,1,2639,6130.61184210526,5621.61842105263,"서울특별시 성북구 보문동 1가 127-1 보문역",127.0201782,37.5855633
"6호선","봉화산",147491.787234043,0.857,1,6,1,2648,7779.29605263158,7070.68421052632,"서울특별시 중랑구 신내동 643-1 봉화산역",127.0932784,37.6164431
"6호선","불광",28599.8972868217,0.667,2,4,1,2613,3952.5,3926.32236842105,"서울특별시 은평구 대조동 14-1 불광역",126.9292884,37.6104829
"6호선","삼각지",109772.759805426,0.75,3,5,1,2629,4807.23684210526,4086.94078947368,"서울특별시 용산구 한강로1가 228-1 삼각지역",126.9730142,37.5343935
"6호선","상수",297590.4,0.8,1,4,1,2624,7362.4802631579,8503.65789473684,"서울특별시 마포구 상수동 309-10 상수역",126.9226203,37.5466338
"6호선","상월곡",111955.130208333,0.75,0,4,1,2643,5081.31578947368,4491.83552631579,"서울특별시 성북구 상월곡동 26-1 상월곡역",127.048862,37.6066
"6호선","새절",192958.934437579,0.571,3,4,1,2617,10712.2302631579,10079.8157894737,"서울특별시 은평구 신사동 337-5 새절역",126.9132724,37.5910797
"6호선","석계",234664.899268751,0.833,2,10,1,2645,10514.6907894737,10666.8026315789,"서울특별시 노원구 월계동 25-2 석계역",127.0669139,37.615123
"6호선","신당",107358.957091143,0.429,3,4,1,2636,6730.33552631579,6968.56578947368,"서울특별시 중구 흥인동 162-1 신당역",127.0161118,37.567534
"6호선","안암",347394.597156398,0.875,6,2,1,2640,8306.61184210526,8355.06578947369,"서울특별시 성북구 안암동5가 146-1 안암역",127.0293623,37.586051
"6호선","약수",137201.662337662,0.8,0,5,1,2634,2992.53947368421,3035.75,"서울특별시 중구 신당동 369-2 약수역",127.0103572,37.5550173
"6호선","역촌",123481.492063492,0.75,1,3,1,2612,3130.96710526316,3616.55921052632,"서울특별시 은평구 녹번동 144-69 역촌역",126.9229527,37.6059994
"6호선","연신내",175489.499242685,0.167,4,2,0,2615,0,0,"서울특별시 은평구 갈현동 397 연신내역",126.9211376,37.6191237
"6호선","월곡",177362.816561196,0.714,4,3,1,2642,9526.84210526316,9255.71052631579,"서울특별시 성북구 하월곡동 35-1 월곡역",127.04153,37.601925
"6호선","월드컵경기장",99196.7906976744,0.667,0,3,1,2620,4167.49342105263,4334.36184210526,"서울특별시 마포구 성산동 420 월드컵경기장역",126.899058,37.569656
"6호선","응암",296741.710971167,0.667,3,3,1,2611,14537.1776315789,14334.7697368421,"서울특별시 은평구 역촌동 85-41 응암역",126.9155626,37.5986299
"6호선","이태원",460997.56,0.667,2,1,1,2631,10175.9539473684,11093.5394736842,"서울특별시 용산구 이태원동 119-23 이태원역",126.9946564,37.5345103
"6호선","증산",284144.642857143,0.8,3,2,1,2618,8516.21052631579,8236.80263157895,"서울특별시 은평구 증산동 199-8 증산역",126.9092563,37.5836921
"6호선","창신",96041.1428571429,0.8,1,4,1,2638,2818.71710526316,2258.28289473684,"서울특별시 종로구 창신동 20-8 창신역",127.0146945,37.5795663
"6호선","태릉입구",43702.4279465801,0.6,3,7,1,2646,4505.26315789474,5058.28289473684,"서울특별시 노원구 공릉동 616-4 태릉입구역",127.0751197,37.6191035
"6호선","한강진",205665.275,0.75,0,4,1,2632,6324.69078947368,7473.06578947368,"서울특별시 용산구 한남동 726-494 한강진역",127.00199,37.54072
"6호선","합정",259637.710574414,0.312,4,12,1,2623,11413.4868421053,11073.5855263158,"서울특별시 마포구 합정동 414 합정역",126.9134767,37.5489656
"6호선","화랑대",117701.669942197,0.571,4,3,1,2647,9330.34868421053,7198.65131578947,"서울특별시 노원구 공릉동 285-2 화랑대역",127.0838154,37.6201651
"6호선","효창공원앞",209095.325581395,0.833,2,4,1,2628,5677.32236842105,5075.22368421053,"서울특별시 용산구 효창동 80 효창공원앞역",126.961356,37.539298
"7호선","가산디지털단지",256906.146919176,0.4,1,4,1,2748,33833.2039473684,33894.0657894737,"서울특별시 금천구 가산동 54-3 가산디지털단지역",126.883016,37.481128
"7호선","강남구청",98407.6705174062,0.333,11,10,1,2732,12509.9605263158,14005.6447368421,"서울특별시 강남구 삼성동 111-44 강남구청역",127.041273,37.5171837
"7호선","건대입구",238445.40347143,0.625,4,4,1,2729,10993.0131578947,11684.9539473684,"서울특별시 광진구 화양동 6-3 건대입구역",127.069253,37.540397
"7호선","고속터미널",433623.741806702,0.211,7,12,0,2736,14084.2631578947,11601.8618421053,"서울특별시 서초구 반포동 19-11 고속터미널역",127.0049178,37.5047736
"7호선","공릉",145088.309280721,0.5,4,2,1,2718,9835.51315789474,9849.82236842105,"서울특별시 노원구 공릉동 385-4 공릉역",127.0728393,37.6258623
"7호선","광명사거리",210026.046668352,0.667,1,8,1,2750,20065.2039473684,19703.9342105263,"경기도 광명시 광명동 158-211 광명사거리역",126.8547139,37.4792784
"7호선","군자",164310.014896996,0.643,7,7,1,2727,12273.3552631579,9634.3947368421,"서울특별시 광진구 능동 275-5 군자역",127.079719,37.5569984
"7호선","굴포천",204160,0,0,1,0,2760,7276.11842105263,7638.66447368421,"인천광역시 부평구 삼산동 466 굴포천역",126.733071,37.507079
"7호선","까치울",173535.974358974,0,0,1,0,2753,6053.6052631579,5789.58552631579,"경기도 부천시 원미구 춘의동 3-1 까치울역",126.8011495,37.5060988
"7호선","남구로",250324.324324324,0.833,2,4,1,2747,12740.5394736842,13426.2763157895,"서울특별시 구로구 구로동 801-95 남구로역",126.8872862,37.4851265
"7호선","남성",216317.127071823,0.8,2,3,1,2739,9254.17763157895,8600.71710526316,"서울특별시 동작구 사당동 산 25-33 남성역",126.970673,37.484876
"7호선","내방",153169.2404631,0.5,3,3,1,2737,11197.3223684211,11491.1513157895,"서울특별시 서초구 방배동 874-16 내방역",126.99286,37.48763
"7호선","노원",379292.940291048,0.182,8,14,0,2715,16665.3223684211,17758.125,"서울특별시 노원구 상계동 729-0 노원역",127.060551,37.654527
"7호선","논현",163423.706587478,0.625,5,11,1,2734,16087.2565789474,17680.2171052632,"서울특별시 강남구 논현동 280 논현역",127.0218283,37.5106484
"7호선","대림",303922.967083532,0.333,5,7,1,2746,6807.8947368421,6753.57236842105,"서울특별시 구로구 대림동 1050-17 대림역",126.8966027,37.4927052
"7호선","뚝섬유원지",176058.882569421,0,1,0,0,2730,7319.375,7271.22368421053,"서울특별시 광진구 자양동 73-2 뚝섬유원지역",127.066708,37.531544
