NO,상가유형,호선,역명,상가번호,면적(㎡),영업업종,보호업종,계약시작,계약종료,임대료
739,개별(일반),5호선,목동역,520-107,26.42,제과,,2015.05.21,2020.06.20,"6,918,660"
740,복합,5호선,오목교역,521-101,9.01,핸드폰액세서리,,2018.10.19,2024.04.16,
741,복합,5호선,오목교역,521-102,14.15,커피,,2018.10.19,2024.04.16,
742,복합,5호선,오목교역,521-103,21.95,꽃,,2018.10.19,2024.04.16,
743,복합,5호선,오목교역,521-104,7.61,액세서리,,2018.10.19,2024.04.16,
744,복합,5호선,오목교역,521-105,89.1,의류,,2018.10.19,2024.04.16,
745,복합,5호선,오목교역,521-106,59.87,편의점,,2018.10.19,2024.04.16,
746,복합,5호선,오목교역,521-107,11.64,쉐이크,,2018.10.19,2024.04.16,
747,복합,5호선,오목교역,521-108,116.4,제과,,2018.10.19,2024.04.16,
748,복합,5호선,오목교역,521-109,106.82,떡카페,,2018.10.19,2024.04.16,
749,복합,5호선,오목교역,521-110,36.48,의류,,2018.10.19,2024.04.16,
750,복합,5호선,오목교역,521-111,118.84,청소년게임,,2018.10.19,2024.04.16,
751,복합,5호선,오목교역,521-112,8.15,시계수리,,2018.10.19,2024.04.16,
752,복합,5호선,오목교역,521-113,14.07,타로점,,2018.10.19,2024.04.16,
753,복합,5호선,오목교역,521-114,33.1,화장품,,2018.10.19,2024.04.16,
754,복합,5호선,오목교역,521-115,16.2,꽃,,2018.10.19,2024.04.16,
755,복합,5호선,오목교역,521-116,20.52,제과,,2018.10.19,2024.04.16,
756,복합,5호선,오목교역,521-117,51.85,의류,,2018.10.19,2024.04.16,
757,복합,5호선,오목교역,521-118,52.37,의류,,2018.10.19,2024.04.16,
758,복합,5호선,오목교역,521-119,54.78,,,2018.10.19,2024.04.16,
759,복합,5호선,오목교역,521-120,109.56,의류,,2018.10.19,2024.04.16,
760,복합,5호선,오목교역,521-121,127.56,커피,,2018.10.19,2024.04.16,
761,복합,5호선,오목교역,521-122,65.13,의류,,2018.10.19,2024.04.16,"176,500,000"
762,복합,5호선,오목교역,521-123,78.62,,,2018.10.19,2024.04.16,
763,복합,5호선,오목교역,521-124,87.78,안경,,2018.10.19,2024.04.16,
764,복합,5호선,오목교역,521-125,81.05,의류,,2018.10.19,2024.04.16,
765,복합,5호선,오목교역,521-126,74.86,의류,,2018.10.19,2024.04.16,
766,복합,5호선,오목교역,521-127,53.08,식음,,2018.10.19,2024.04.16,
767,복합,5호선,오목교역,521-128,26.17,의류,,2018.10.19,2024.04.16,
768,복합,5호선,오목교역,521-129,28.49,토스트,,2018.10.19,2024.04.16,
769,복합,5호선,오목교역,521-130,28.02,화장품,,2018.10.19,2024.04.16,
770,복합,5호선,오목교역,521-131,57.6,,,2018.10.19,2024.04.16,
771,복합,5호선,오목교역,521-201,47.97,액세서리,,2018.10.19,2024.04.16,
772,복합,5호선,오목교역,521-202,49,식음,,2018.10.19,2024.04.16,
773,복합,5호선,오목교역,521-203,27.47,타코야끼,,2018.10.19,2024.04.16,
774,복합,5호선,오목교역,521-204,21.7,제과,,2018.10.19,2024.04.16,
775,복합,5호선,오목교역,521-205,9.7,커피,,2018.10.19,2024.04.16,
776,복합,5호선,오목교역,521-207,15.16,액세서리,,2018.10.19,2024.04.16,
777,복합,5호선,오목교역,521-208,22.25,식음,,2018.10.19,2024.04.16,
778,복합,5호선,오목교역,521-209,62.37,식음,,2018.10.19,2024.04.16,
779,복합,5호선,오목교역,521-210,95,의류,,2018.10.19,2024.04.16,
780,복합,5호선,오목교역,521-211,35.8,제과,,2018.10.19,2024.04.16,
781,복합,5호선,오목교역,521-212,36.19,식음,,2018.10.19,2024.04.16,
782,복합,5호선,오목교역,521-213,31.1,식음,,2018.10.19,2024.04.16,
783,네트워크,5호선,오목교역,521-206,43.51,편의점,,2018.04.18,2023.06.16,"12,003,739"
784,네트워크,5호선,영등포구청(5)역,523-401,34.33,편의점,제과,2018.04.18,2023.06.16,"6,300,716"
785,복합,5호선,영등포구청(5)역,523-402,313.4,의류,제과,2017.02.22,2022.05.23,"15,593,692"
786,네트워크,5호선,영등포구청(5)역,523-404,24.8,제과,제과,2016.05.27,2021.07.26,"5,885,383"
787,네트워크,5호선,영등포시장역,524-202,37.3,편의점,,2018.04.18,2023.06.16,"6,361,705"
788,소송상가,5호선,신길역,525-101,20,제과,,2018.04.10,2023.05.09,"12,500,000"
789,네트워크,5호선,신길역,525-102,40,플라워,,2018.11.27,2024.01.25,"3,163,817"
790,개별(일반),5호선,신길역,525-106,10,의류,,2018.04.10,2023.05.09,"7,800,000"
791,개별(일반),5호선,여의도역,526-100,47,생과자,,2019.12.21,2025.01.19,"5,200,000"
792,네트워크,5호선,여의도역,526-101,35.24,편의점,,2018.04.18,2023.06.16,"9,929,005"
793,개별(일반),5호선,여의도역,526-102,22.04,제과(현장조리불가),,2019.09.20,2024.10.19,"2,300,000"
794,네트워크,5호선,여의도역,526-201,23.65,플라워,,2018.11.27,2024.01.25,"2,792,461"
795,개별(일반),5호선,여의도역,526-202,23.65,액세서리,,2018.11.20,2023.12.19,"1,224,500"
796,공실,5호선,여의도역,526-203,19.93,,,,,
797,네트워크,5호선,여의나루역,527-101,33.39,편의점,,2018.04.18,2023.06.16,"6,716,550"
798,개별(일반),5호선,여의나루역,527-102,34.86,제과,,2019.06.25,2024.07.24,"2,600,000"
799,네트워크,5호선,마포역,528-101,29,편의점,제과,2018.04.18,2023.06.16,"5,945,871"
800,개별(일반),5호선,마포역,528-102,17.43,핸드폰케이스,제과,2019.09.26,2024.10.25,"4,420,000"
801,개별(일반),5호선,마포역,528-103,41.13,푸른마을,제과,2016.01.08,2021.02.07,"2,669,848"
802,네트워크,5호선,마포역,528-104,46.6,제과,제과,2016.06.07,2021.08.06,"2,582,786"
803,네트워크,5호선,마포역,528-401,32.9,액세서리,제과,2018.05.09,2023.07.07,"2,552,265"
804,복합,5호선,공덕(5)역,529-101,70.3,의류,,2017.02.22,2022.05.23,"10,109,706"
805,개별(대형),5호선,공덕(5)역,529-102,295,서점(카페포함)/햄버거,,2019.01.10,2024.03.10,"20,000,000"
806,개별(대형),5호선,공덕(5)역,529-103,,서점(카페포함),,2019.01.10,2024.03.10,
807,개별(대형),5호선,공덕(5)역,529-104,,서점(카페포함),,2019.01.10,2024.03.10,
808,개별(대형),5호선,공덕(5)역,529-105,,서점(카페포함),,2019.01.10,2024.03.10,
809,개별(대형),5호선,공덕(5)역,529-106,,서점(카페포함),,2019.01.10,2024.03.10,
810,개별(대형),5호선,공덕(5)역,529-107,,서점(카페포함),,2019.01.10,2024.03.10,
811,개별(대형),5호선,공덕(5)역,529-108,,서점(카페포함),,2019.01.10,2024.03.10,
812,개별(대형),5호선,공덕(5)역,529-109,22,창고,,2019.01.10,2024.03.10,
813,개별(일반),5호선,공덕(5)역,529-110,34.5,장애인생산품,,2019.12.30,2024.12.29,"1,211,600"
814,네트워크,5호선,공덕(5)역,529-111,34.9,편의점,,2018.04.18,2023.06.16,"7,008,188"
815,복합,5호선,공덕(5)역,529-113,30,의류,,2017.02.22,2022.05.23,"4,810,580"
816,개별(일반),5호선,공덕(5)역,529-114,33.71,꽃전문점,,2019.09.23,2024.09.22,"4,500,000"
817,개별(일반),5호선,공덕(5)역,529-115,37,꽃집,,2018.11.06,2023.12.05,"1,654,000"
818,개별(일반),5호선,공덕(5)역,529-116,34,패션용품(단일브랜드),,2018.12.28,2024.01.26,"1,280,000"
819,개별(일반),5호선,공덕(5)역,529-117,33,꽃집,,2020.02.25,2025.03.26,"1,500,000"
820,개별(일반),5호선,공덕(5)역,529-118,32,생활건강용품,,2018.11.06,2023.12.05,"1,270,000"
821,개별(일반),5호선,공덕(5)역,529-119,32,의류,,2018.11.06,2023.12.05,"1,350,000"
822,복합,5호선,공덕(5)역,529-120,47.3,의류,,2017.02.22,2022.05.23,"7,453,288"
823,개별(일반),5호선,공덕(5)역,529-121,52,의류,,2019.12.10,2025.01.08,"1,930,000"
824,개별(일반),5호선,공덕(5)역,529-122,41.58,신발,,2018.06.22,2023.07.21,"3,511,500"
825,개별(일반),5호선,공덕(5)역,529-123,28.5,의류,,2020.02.24,2025.03.25,"1,170,000"
826,복합,5호선,공덕(5)역,529-130,32.2,의류,,2017.02.22,2022.05.23,"5,163,273"
827,복합,5호선,공덕(5)역,529-131,32,의류,,2017.02.22,2022.05.23,"5,131,210"
828,복합,5호선,공덕(5)역,529-132,32,의류,,2017.02.22,2022.05.23,"5,131,210"
829,복합,5호선,공덕(5)역,529-133,48.5,의류,,2017.02.22,2022.05.23,"7,642,349"
830,복합,5호선,공덕(5)역,529-134,28.2,의류,,2017.02.22,2022.05.23,"4,366,121"
831,복합,5호선,공덕(5)역,529-202,28.6,의류,,2017.02.22,2022.05.23,"2,056,481"
832,복합,5호선,공덕(5)역,529-203,28.7,의류,,2017.02.22,2022.05.23,"2,063,667"
833,네트워크,5호선,애오개역,530-101,32.2,편의점,,2018.04.18,2023.06.16,"4,577,500"
834,개별(일반),5호선,충정로(5)역,531-101,42,사무실,,2020.04.16,2025.05.16,"550,000"
835,개별(일반),5호선,충정로(5)역,531-201,20,의류,,2019.09.20,2024.10.19,"900,000"
836,네트워크,5호선,충정로(5)역,531-202,45,편의점,,2018.04.18,2023.06.16,"5,773,993"
837,개별(일반),5호선,충정로(5)역,531-203,36.85,사무실,,2020.02.24,2025.03.25,"349,500"
838,개별(일반),5호선,충정로(5)역,531-204,29.01,사무실,,2020.02.24,2025.03.25,"279,000"
839,개별(일반),5호선,충정로(5)역,531-205,29.01,의류,,2019.06.25,2024.07.24,"461,000"
840,개별(일반),5호선,서대문역,532-101,14.74,플라워,,2019.04.30,2024.05.29,"833,000"
841,개별(일반),5호선,서대문역,532-102,8.25,세계과자,,2019.12.21,2025.01.19,"519,000"
842,개별(일반),5호선,서대문역,532-103,10.5,건강식품,,2020.06.05,2025.07.05,"1,100,000"
843,네트워크,5호선,서대문역,532-104,30.32,편의점,,2018.04.18,2023.06.16,"5,124,183"
844,개별(일반),5호선,서대문역,532-105,10.5,낙찰,,,,
845,개별(일반),5호선,서대문역,532-106,42.95,의류,,2018.10.12,2023.11.10,"5,021,000"
846,공실,5호선,서대문역,532-107,11.88,,,,,
847,개별(일반),5호선,서대문역,532-108,9.05,제과,,2017.04.14,2022.05.14,"600,000"
848,개별(일반),5호선,서대문역,532-109,9.06,여성신발,,2017.09.16,2022.10.15,"550,000"
849,개별(일반),5호선,서대문역,532-301,25.79,사무실(지정),,2019.12.17,2025.01.15,"207,667"
850,개별(일반),5호선,광화문역,533-101,849,문화복지,,2015.08.24,2020.08.23,"6,976,750"
851,네트워크,5호선,광화문역,533-103,56,편의점,,2018.04.18,2023.06.16,"25,342,583"
852,네트워크,5호선,광화문역,533-104,10,의류,,2018.11.16,2024.01.14,"1,236,200"
853,공실,5호선,광화문역,533-105,6.3,,,,,
854,개별(대형),5호선,광화문역,533-106,104.1,도서업 등,,2018.03.27,2021.06.04,"10,982,800"
855,공실,5호선,종로3가(5)역,534-101,67.28,,,,,
856,네트워크,5호선,종로3가(5)역,534-202,29.48,편의점,,2018.04.18,2023.06.16,"8,575,050"
857,개별(일반),5호선,종로3가(5)역,534-301,21.4,식음(음료),,2017.04.14,2022.05.14,"1,360,000"
858,개별(일반),5호선,을지로4가(5)역,535-101,29.82,사무실,,2019.05.08,2024.06.06,"302,500"
859,개별(일반),5호선,을지로4가(5)역,535-102,16.8,액세서리,,2017.09.16,2022.10.15,"1,500,000"
860,개별(일반),5호선,을지로4가(5)역,535-103,19.6,의류,,2018.04.10,2023.05.09,"799,000"
861,네트워크,5호선,을지로4가(5)역,535-104,34.98,편의점,,2018.04.18,2023.06.16,"5,063,194"
862,개별(일반),5호선,을지로4가(5)역,535-105,41.45,의류,,2019.10.29,2024.11.27,"633,300"
863,개별(일반),5호선,을지로4가(5)역,535-106,41.45,사무실,,2019.05.08,2024.06.06,"512,300"
864,공실,5호선,청구(5)역,537-301,47.89,,제과,,,
865,네트워크,5호선,청구(5)역,537-302,30,제과,제과,2016.06.07,2021.08.06,"2,757,557"
866,네트워크,5호선,청구(5)역,537-304,46.33,편의점,제과,2018.04.18,2023.06.16,"5,754,033"
867,개별(일반),5호선,청구(5)역,537-305,18,액세서리,제과,2019.12.19,2025.01.17,"3,360,000"
868,네트워크,5호선,신금호역,538-101,39.14,편의점,,2018.04.18,2023.06.16,"5,585,481"
869,개별(일반),5호선,신금호역,538-102,23.5,의류,,2018.09.28,2023.10.27,"1,700,000"
870,네트워크,5호선,행당역,539-101,41.46,편의점,,2018.04.18,2023.06.16,"6,615,641"
871,개별(일반),5호선,행당역,539-301,30.84,꽃,,2019.09.20,2024.10.19,"2,100,000"
872,개별(일반),5호선,행당역,539-302,39,액세서리,,2019.01.04,2024.02.02,"1,650,000"
873,개별(일반),5호선,행당역,539-303,46.78,제과,,2019.04.02,2024.05.01,"2,533,300"
874,네트워크,5호선,왕십리(5)역,540-201,40,편의점,화장품,2018.04.18,2023.06.16,"5,167,430"
875,개별(일반),5호선,왕십리(5)역,540-202,10.3,꽃(화훼),화장품,2017.04.14,2022.05.14,"650,000"
876,네트워크,5호선,왕십리(5)역,540-203,50.84,화장품,화장품,2016.10.10,2021.11.24,"2,610,286"
877,공실,5호선,왕십리(5)역,540-401,204,,화장품,,,
878,개별(일반),5호선,왕십리(5)역,540-402,53.75,분식,화장품,2020.06.03,2025.07.03,"3,310,000"
879,개별(일반),5호선,왕십리(5)역,540-403,53.7,의류,화장품,2017.09.16,2022.10.15,"2,640,000"
880,개별(일반),5호선,왕십리(5)역,540-404,53.7,의류(여성),화장품,2017.03.16,2022.04.15,"3,020,000"
881,개별(일반),5호선,왕십리(5)역,540-405,55.83,의류,화장품,2019.12.18,2025.01.16,"3,640,000"
882,개별(일반),5호선,왕십리(5)역,540-406,50,사무실,화장품,2018.04.21,2023.05.20,"516,600"
883,개별(일반),5호선,왕십리(5)역,540-407,84.48,낙찰,화장품,,,
884,개별(일반),5호선,왕십리(5)역,540-408,37,의류(여성의류),화장품,2019.10.29,2024.11.27,"4,640,000"
885,개별(일반),5호선,왕십리(5)역,540-409,37,제과,화장품,2019.10.01,2024.10.30,"5,610,000"
886,공실,5호선,왕십리(5)역,540-410,73.57,,화장품,,,
887,네트워크,5호선,마장역,541-101,30,편의점,,2018.04.18,2023.06.16,"4,361,266"
888,개별(일반),5호선,답십리역,542-101,50,의류,,2020.06.15,2025.07.15,"1,250,000"
889,개별(일반),5호선,답십리역,542-103,61.97,사무실,,2019.11.12,2024.12.11,"421,600"
890,개별(일반),5호선,답십리역,542-104,57.89,제과,,2015.05.21,2020.06.20,"6,668,830"
891,개별(일반),5호선,답십리역,542-202,25.5,꽃집,,2019.09.23,2024.09.22,"1,800,000"
892,개별(일반),5호선,답십리역,542-203,35.8,의류,,2020.02.21,2025.03.22,"2,831,000"
893,네트워크,5호선,답십리역,542-204,40,편의점,,2018.04.18,2023.06.16,"8,179,176"
894,소송상가,5호선,답십리역,542-205,28.86,액세서리,,2014.07.28,2019.08.26,"3,310,000"
895,개별(일반),5호선,장한평역,543-101,24.5,의류,제과,2019.12.21,2025.01.19,"2,518,000"
896,개별(일반),5호선,장한평역,543-102,31.9,액세서리,제과,2017.10.11,2022.11.09,"3,000,300"
897,네트워크,5호선,장한평역,543-103,52.8,편의점,제과,2018.04.18,2023.06.16,"11,054,529"
898,네트워크,5호선,장한평역,543-201,29.8,제과,제과,2016.05.27,2021.07.26,"4,766,083"
899,개별(일반),5호선,장한평역,543-202,35.62,의류,제과,2019.11.26,2024.12.25,"4,960,000"
900,개별(일반),5호선,장한평역,543-203,31.98,액세서리,제과,2017.03.09,2022.04.08,"3,022,000"
901,개별(대형),5호선,군자(5)역,544-103,90.6,화장품,제과,2018.02.22,2023.04.02,"7,050,000"
902,개별(대형),5호선,군자(5)역,544-104,48,의류,제과,2018.04.16,2023.04.02,
903,개별(일반),5호선,군자(5)역,544-106,32.92,사무실,제과,2020.02.24,2025.03.25,"412,900"
904,개별(일반),5호선,군자(5)역,544-107,44.67,화장품,제과,2020.02.20,2025.03.21,"3,600,000"
905,네트워크,5호선,아차산역,545-101,19.6,제과,제과,2016.05.27,2021.07.26,"6,299,533"
906,개별(일반),5호선,아차산역,545-102,19.6,꽃,제과,2017.10.11,2022.11.09,"2,000,000"
907,공실,5호선,아차산역,545-103,31.21,,제과,,,
908,네트워크,5호선,아차산역,545-201,48.37,의류,제과,2018.05.09,2023.07.07,"3,556,078"
909,네트워크,5호선,아차산역,545-202,28.72,편의점,제과,2018.04.18,2023.06.16,"5,882,664"
910,개별(일반),5호선,아차산역,545-203,44.22,"분식(김밥,주먹밥)",제과,2018.12.28,2024.01.26,"2,833,300"
911,네트워크,5호선,광나루역,546-101,53.26,의류,,2018.05.09,2023.07.07,"3,726,868"
912,공실,5호선,광나루역,546-201,62.2,,,,,
913,네트워크,5호선,광나루역,546-202,45,편의점,,2018.04.18,2023.06.16,"8,972,033"
914,개별(일반),5호선,광나루역,546-203,17.86,꽃(화훼),,2018.10.23,2023.11.21,"2,150,000"
915,복합,5호선,천호(5)역,547-101,210,의류,,2017.07.07,2022.11.04,"217,793,378"
916,복합,5호선,천호(5)역,547-102,214.67,화장품,,2017.07.07,2022.11.04,
917,복합,5호선,천호(5)역,547-103,142.68,의류,,2017.07.07,2022.11.04,
918,복합,5호선,천호(5)역,547-104,142.68,의류,,2017.07.07,2022.11.04,
919,복합,5호선,천호(5)역,547-105,120.19,안경,,2017.07.07,2022.11.04,
920,복합,5호선,천호(5)역,547-106,43.9,떡,,2017.07.07,2022.11.04,
921,복합,5호선,천호(5)역,547-107,54.27,떡,,2017.07.07,2022.11.04,
922,복합,5호선,천호(5)역,547-108,25.63,의류,,2017.07.07,2022.11.04,
923,복합,5호선,천호(5)역,547-109,12.37,의류,,2017.07.07,2022.11.04,
924,복합,5호선,천호(5)역,547-110,38.58,의류,,2017.07.07,2022.11.04,
925,복합,5호선,천호(5)역,547-111,30.65,의류,,2017.07.07,2022.11.04,
926,복합,5호선,천호(5)역,547-112,30.65,의류,,2017.07.07,2022.11.04,
927,복합,5호선,천호(5)역,547-113,47.07,화장품,,2017.07.07,2022.11.04,
928,복합,5호선,천호(5)역,547-114,47.47,화장품,,2017.07.07,2022.11.04,
929,복합,5호선,천호(5)역,547-115,47.55,화장품,,2017.07.07,2022.11.04,
930,복합,5호선,천호(5)역,547-116,47.32,액세서리,,2017.07.07,2022.11.04,
931,복합,5호선,천호(5)역,547-117,34.15,제과제빵,,2017.07.07,2022.11.04,
932,복합,5호선,천호(5)역,547-119,34.17,의류,,2017.07.07,2022.11.04,
933,복합,5호선,천호(5)역,547-121,66.6,아이스크림,,2017.07.07,2022.11.04,
934,복합,5호선,천호(5)역,547-122,72.11,의류,,2017.07.07,2022.11.04,
935,복합,5호선,천호(5)역,547-123,22.41,의류,,2017.07.07,2022.11.04,
936,복합,5호선,천호(5)역,547-124,23.42,의류,,2017.07.07,2022.11.04,
937,복합,5호선,천호(5)역,547-125,19.59,의류,,2017.07.07,2022.11.04,
938,복합,5호선,천호(5)역,547-126,53,사무실,,2017.07.07,2022.11.04,
939,복합,5호선,천호(5)역,547-201,22.38,의류,,2017.07.07,2022.11.04,
940,복합,5호선,천호(5)역,547-202,56.22,액세서리,,2017.07.07,2022.11.04,
941,복합,5호선,천호(5)역,547-203,238.24,잡화,,2017.07.07,2022.11.04,
942,개별(일반),5호선,강동역,548-101,15,의류,,2020.03.02,2025.04.01,"2,842,500"
943,개별(일반),5호선,강동역,548-102,15,의류,,2019.12.20,2025.01.18,"2,638,000"
944,네트워크,5호선,강동역,548-103,57.26,편의점,,2018.04.18,2023.06.16,"10,222,861"
945,개별(일반),5호선,강동역,548-104,24.44,제과,,2015.07.03,2020.08.02,"2,877,000"
946,복합,5호선,강동역,548-301,29.58,의류,,2016.11.07,2022.02.05,"14,919,520"
947,복합,5호선,강동역,548-302,31.58,제과,,2016.11.07,2022.02.05,
948,복합,5호선,강동역,548-303,20.44,제과,,2016.11.07,2022.02.05,
949,복합,5호선,강동역,548-304,96.47,헤어,,2016.11.07,2022.02.05,
950,복합,5호선,강동역,548-305,202.41,의류,,2016.11.07,2022.02.05,
951,복합,5호선,강동역,548-306,16.4,창고,,2016.11.07,2022.02.05,
952,네트워크,5호선,길동역,549-101,31.82,편의점,,2018.04.18,2023.06.16,"5,116,421"
953,네트워크,5호선,굽은다리역,550-101,30,편의점,,2018.04.18,2023.06.16,"5,299,388"
954,개별(일반),5호선,굽은다리역,550-102,14.5,의류,,2017.03.09,2022.04.08,"999,990"
955,개별(일반),5호선,굽은다리역,550-103,34.43,액세서리,,2019.12.10,2025.01.08,"2,310,000"
956,개별(일반),5호선,굽은다리역,550-104,34.43,제과,,2015.07.13,2020.08.12,"3,692,500"
957,개별(일반),5호선,굽은다리역,550-105,23,의류,,2018.09.28,2023.10.27,"3,130,000"
958,네트워크,5호선,명일역,551-101,30,편의점,,2018.04.18,2023.06.16,"5,086,481"
959,개별(일반),5호선,명일역,551-102,44.27,의류,,2018.10.23,2023.11.21,"2,300,000"
960,공실,5호선,명일역,551-103,25.05,,,,,
961,개별(일반),5호선,명일역,551-104,29.77,의류,,2019.06.25,2024.07.24,"2,610,000"
962,네트워크,5호선,고덕역,552-101,28.62,편의점,,2018.04.18,2023.06.16,"5,036,580"
963,개별(일반),5호선,고덕역,552-102,42.94,제과,,2017.10.11,2022.11.09,"2,876,000"
964,네트워크,5호선,상일동역,553-101,31.46,편의점,,2018.04.18,2023.06.16,"5,759,577"
965,개별(일반),5호선,상일동역,553-102,17.85,의류,,2019.04.02,2024.05.01,"1,100,000"
966,개별(일반),5호선,상일동역,553-103,17.92,제과(완제품),,2017.09.16,2022.10.15,"1,200,000"
967,네트워크,5호선,둔촌동역,554-101,29,편의점,,2018.04.18,2023.06.16,"5,386,990"
968,공실,5호선,둔촌동역,554-102,28.71,,,,,
969,개별(일반),5호선,둔촌동역,554-103,13.5,의류,,2019.12.21,2025.01.19,"2,065,000"
970,개별(일반),5호선,둔촌동역,554-104,31.17,세계과자,,2019.12.10,2025.01.08,"2,399,000"
971,네트워크,5호선,올림픽공원역,555-201,37.2,편의점,,2018.04.18,2023.06.16,"5,832,764"
972,공실,5호선,방이역,556-101,25.58,,,,,
973,네트워크,5호선,방이역,556-102,36.48,편의점,,2018.04.18,2023.06.16,"5,832,764"
974,네트워크,5호선,오금(5)역,557-101,27.38,편의점,,2018.04.18,2023.06.16,"3,373,245"
975,네트워크,5호선,개롱역,558-101,40,편의점,,2018.04.18,2023.06.16,"6,316,240"
976,네트워크,5호선,거여역,559-101,28.98,편의점,,2018.04.18,2023.06.16,"4,559,758"
977,네트워크,5호선,마천역,560-201,30,편의점,,2018.04.18,2023.06.16,"4,234,853"
978,네트워크,6호선,응암역,610-101,34.64,제과,"제과,편의점",2016.06.07,2021.08.06,"5,701,434"
979,GS,6호선,응암역,610-102,30,공실,"제과,편의점",,,
980,GS,6호선,응암역,610-103,50,공실,"제과,편의점",,,
981,GS,6호선,응암역,610-104,31,공실,"제과,편의점",,,
982,GS,6호선,응암역,610-105,15,공실,"제과,편의점",,,
983,네트워크,6호선,응암역,610-201,38.8,편의점,"제과,편의점",2016.07.25,2021.11.17,"16,641,024"
984,네트워크,6호선,역촌역,611-101,31.5,편의점,편의점,2016.07.25,2021.11.17,"3,889,667"
985,GS,6호선,역촌역,611-102,72,공실,편의점,,,
986,GS,6호선,역촌역,611-103,37,공실,편의점,,,
987,GS,6호선,역촌역,611-104,37,공실,편의점,,,
988,개별(일반),6호선,불광(6)역,612-101,43,공익상가(장난감나라),편의점,2020.02.24,2025.02.24,"495,000"
989,GS,6호선,불광(6)역,612-102,34,공실,편의점,,,
990,GS,6호선,불광(6)역,612-103,47,공실,편의점,,,
991,GS,6호선,불광(6)역,612-104,46,공실,편의점,,,
992,공실,6호선,불광(6)역,612-201,30,,편의점,,,
993,네트워크,6호선,불광(6)역,612-202,30,편의점,편의점,2016.07.25,2021.11.17,"1,370,645"
994,네트워크,6호선,독바위역,613-101,31.3,편의점,편의점,2016.07.25,2021.11.17,"2,860,106"
995,GS,6호선,독바위역,613-102,85,공실,편의점,,,
996,네트워크,6호선,연신내(6)역,614-101,44,편의점,"제과,편의점",2016.07.25,2021.11.17,"11,916,787"
997,개별(일반),6호선,연신내(6)역,614-301,12,디저트(완제품),"제과,편의점",2020.02.24,2025.03.25,"1,386,900"
998,네트워크,6호선,연신내(6)역,614-302,26.6,의류,"제과,편의점",2018.05.12,2023.07.10,"2,500,150"
999,GS,6호선,연신내(6)역,614-303,35,공실,"제과,편의점",,,
1000,네트워크,6호선,연신내(6)역,614-501,18.32,제과,"제과,편의점",2016.05.27,2021.07.26,"2,684,183"
1001,개별(일반),6호선,연신내(6)역,614-502,14.17,의류,"제과,편의점",2017.03.16,2022.04.15,"3,550,000"
1002,네트워크,6호선,구산역,615-101,33.2,편의점,편의점,2016.07.25,2021.11.17,"7,210,770"
1003,GS,6호선,구산역,615-102,58,공실,편의점,,,
1004,GS,6호선,구산역,615-103,30,공실,편의점,,,
1005,GS,6호선,구산역,615-104,33,공실,편의점,,,
1006,GS,6호선,구산역,615-105,33,공실,편의점,,,
1007,개별(일반),6호선,새절역,616-101,43.6,신발,"기타잡화,편의점",2020.04.09,2025.05.09,"4,100,000"
1008,네트워크,6호선,새절역,616-102,25,편의점,"기타잡화,편의점",2016.07.25,2021.11.17,"8,914,678"
1009,네트워크,6호선,새절역,616-103,30.14,기타(잡화),"기타잡화,편의점",2016.05.23,2021.06.22,"3,865,545"
1010,GS,6호선,새절역,616-104,26,공실,"기타잡화,편의점",,,
1011,GS,6호선,새절역,616-105,39,공실,"기타잡화,편의점",,,
1012,GS,6호선,새절역,616-106,100,공실,"기타잡화,편의점",,,
1013,GS,6호선,새절역,616-107,48,공실,"기타잡화,편의점",,,
1014,네트워크,6호선,증산역,617-101,28,편의점,편의점,2016.07.25,2021.11.17,"7,956,050"
1015,GS,6호선,증산역,617-102,31,공실,편의점,,,
1016,GS,6호선,증산역,617-103,37,공실,편의점,,,
1017,GS,6호선,증산역,617-104,29,공실,편의점,,,
1018,GS,6호선,증산역,617-105,48,공실,편의점,,,
1019,개별(일반),6호선,디지털미디어시티역,618-003,95.86,메디컬(약국),편의점,2016.10.20,2022.01.18,"3,461,833"
1020,개별(일반),6호선,디지털미디어시티역,618-004,212.39,메디컬(의원),편의점,2016.10.16,2022.01.19,"4,255,000"
1021,네트워크,6호선,디지털미디어시티역,618-101,31.64,액세서리,편의점,2018.05.09,2023.07.07,"2,608,636"
1022,네트워크,6호선,디지털미디어시티역,618-102,33,편의점,편의점,2016.07.25,2021.11.17,"6,279,857"
1023,공실,6호선,디지털미디어시티역,618-103,30,,편의점,,,
1024,GS,6호선,디지털미디어시티역,618-104,110,공실,편의점,,,
1025,GS,6호선,디지털미디어시티역,618-106,40,공실,편의점,,,
1026,GS,6호선,디지털미디어시티역,618-107,30,공실,편의점,,,
1027,GS,6호선,디지털미디어시티역,618-108,81,공실,편의점,,,
1028,GS,6호선,디지털미디어시티역,618-109,33,공실,편의점,,,
1029,네트워크,6호선,월드컵경기장역,619-201,43,편의점,편의점,2016.07.25,2021.11.17,"4,265,462"
1030,GS,6호선,월드컵경기장역,619-202,33,공실,편의점,,,
1031,GS,6호선,월드컵경기장역,619-211,62,공실,편의점,,,
1032,네트워크,6호선,마포구청역,620-101,39,편의점,편의점,2016.07.25,2021.11.17,"8,887,786"
1033,공실,6호선,마포구청역,620-102,32.58,,편의점,,,
1034,GS,6호선,마포구청역,620-104,73,공실,편의점,,,
1035,GS,6호선,마포구청역,620-201,40,공실,편의점,,,
